area,year,variable,value
France,2000,Bioenergy,2.95
France,2000,Coal,32.07
France,2000,Gas,13.67
France,2000,Hydro,76.94
France,2000,Nuclear,493.12
France,2000,Other renewables,0.61
France,2000,Solar,0.01
France,2000,Wind,0.060000000000000005
France,2001,Bioenergy,3.38
France,2001,Coal,24.25
France,2001,Gas,17.94
France,2001,Hydro,86.0
France,2001,Nuclear,498.67999999999995
France,2001,Other renewables,0.57
France,2001,Solar,0.01
France,2001,Wind,0.15
France,2002,Bioenergy,3.59
France,2002,Coal,27.95
France,2002,Gas,21.700000000000003
France,2002,Hydro,69.56
France,2002,Nuclear,515.99
France,2002,Other renewables,0.58
France,2002,Solar,0.01
France,2002,Wind,0.32
France,2003,Bioenergy,3.81
France,2003,Coal,30.96
France,2003,Gas,22.830000000000002
France,2003,Hydro,67.61
France,2003,Nuclear,519.96
France,2003,Other renewables,0.58
France,2003,Solar,0.01
France,2003,Wind,0.46
France,2004,Bioenergy,3.89
France,2004,Coal,28.67
France,2004,Gas,24.77
France,2004,Hydro,68.28999999999999
France,2004,Nuclear,527.39
France,2004,Other renewables,0.5499999999999999
France,2004,Solar,0.01
France,2004,Wind,0.69
France,2005,Bioenergy,3.99
France,2005,Coal,32.34
France,2005,Gas,27.12
France,2005,Hydro,58.95
France,2005,Nuclear,530.87
France,2005,Other renewables,0.5599999999999999
France,2005,Solar,0.01
France,2005,Wind,1.13
France,2006,Bioenergy,3.98
France,2006,Coal,26.92
France,2006,Gas,25.6
France,2006,Hydro,64.55
France,2006,Nuclear,529.55
France,2006,Other renewables,0.54
France,2006,Solar,0.01
France,2006,Wind,2.56
France,2007,Bioenergy,4.42
France,2007,Coal,28.799999999999997
France,2007,Gas,25.9
France,2007,Hydro,65.96000000000001
France,2007,Nuclear,518.0
France,2007,Other renewables,0.5499999999999999
France,2007,Solar,0.02
France,2007,Wind,4.79
France,2008,Bioenergy,4.67
France,2008,Coal,27.13
France,2008,Gas,25.74
France,2008,Hydro,73.12
France,2008,Nuclear,516.96
France,2008,Other renewables,0.5499999999999999
France,2008,Solar,0.05
France,2008,Wind,6.69
France,2009,Bioenergy,4.91
France,2009,Coal,25.770000000000003
France,2009,Gas,24.38
France,2009,Hydro,65.98
France,2009,Nuclear,487.21000000000004
France,2009,Other renewables,0.54
France,2009,Solar,0.2
France,2009,Wind,9.41
France,2010,Bioenergy,5.23
France,2010,Coal,27.509999999999998
France,2010,Gas,27.990000000000002
France,2010,Hydro,72.08
France,2010,Nuclear,504.71999999999997
France,2010,Other renewables,0.57
France,2010,Solar,0.73
France,2010,Wind,11.709999999999999
France,2011,Bioenergy,5.93
France,2011,Coal,20.45
France,2011,Gas,34.69
France,2011,Hydro,53.800000000000004
France,2011,Nuclear,520.3199999999999
France,2011,Other renewables,0.64
France,2011,Solar,2.74
France,2011,Wind,14.549999999999999
France,2012,Bioenergy,6.2299999999999995
France,2012,Coal,25.240000000000002
France,2012,Gas,26.759999999999998
France,2012,Hydro,70.37
France,2012,Nuclear,500.36
France,2012,Other renewables,0.6
France,2012,Solar,5.21
France,2012,Wind,17.85
France,2013,Bioenergy,6.66
France,2013,Coal,27.97
France,2013,Gas,21.580000000000002
France,2013,Hydro,84.39
France,2013,Nuclear,497.14
France,2013,Other renewables,0.59
France,2013,Solar,6.090000000000001
France,2013,Wind,18.94
France,2014,Bioenergy,7.050000000000001
France,2014,Coal,13.25
France,2014,Gas,15.48
France,2014,Hydro,75.03
France,2014,Nuclear,513.55
France,2014,Other renewables,0.66
France,2014,Solar,7.52
France,2014,Wind,20.38
France,2015,Bioenergy,7.67
France,2015,Coal,13.96
France,2015,Gas,24.82
France,2015,Hydro,65.24000000000001
France,2015,Nuclear,513.62
France,2015,Other renewables,0.6799999999999999
France,2015,Solar,9.1
France,2015,Wind,25.150000000000002
France,2016,Bioenergy,8.87
France,2016,Coal,12.06
France,2016,Gas,41.23
France,2016,Hydro,71.73
France,2016,Nuclear,475.35
France,2016,Other renewables,0.71
France,2016,Solar,10.21
France,2016,Wind,25.21
France,2017,Bioenergy,9.18
France,2017,Coal,15.120000000000001
France,2017,Gas,47.79
France,2017,Hydro,59.0
France,2017,Nuclear,470.04
France,2017,Other renewables,0.77
France,2017,Solar,10.469999999999999
France,2017,Wind,29.04
France,2018,Bioenergy,9.83
France,2018,Coal,9.75
France,2018,Gas,35.85
France,2018,Hydro,76.41
France,2018,Nuclear,484.6
France,2018,Other renewables,0.72
France,2018,Solar,13.08
France,2018,Wind,33.56
France,2019,Bioenergy,10.17
France,2019,Coal,4.28
France,2019,Gas,46.18
France,2019,Hydro,66.97
France,2019,Nuclear,469.57
France,2019,Other renewables,0.72
France,2019,Solar,14.149999999999999
France,2019,Wind,40.86
France,2020,Bioenergy,10.42
France,2020,Coal,3.6799999999999997
France,2020,Gas,41.94
France,2020,Hydro,74.38
France,2020,Nuclear,420.94
France,2020,Other renewables,0.73
France,2020,Solar,15.57
France,2020,Wind,47.65
France,2021,Bioenergy,11.32
France,2021,Coal,6.430000000000001
France,2021,Gas,39.36
France,2021,Hydro,70.36
France,2021,Nuclear,448.3
France,2021,Other renewables,0.69
France,2021,Solar,18.06
France,2021,Wind,43.87
France,2022,Bioenergy,11.73
France,2022,Coal,5.05
France,2022,Gas,55.5
