area,year,total_generation,renewable_generation,fossil_generation,renewable_share,fossil_share,renewable_yoy_growth,generation,demand,balance,imports
Austria,2000,159.64,116.28,36.31999999999999,0.7283888749686795,0.22751190177900274,,59.64,58.27,1.3699999999999974,1.37
Austria,2001,160.98,111.51,41.290000000000006,0.6926947446887813,0.25649148962604057,-0.041021671826625306,60.98,61.2,-0.22000000000000597,-0.22
Austria,2002,160.63,111.00999999999999,42.18000000000001,0.6910913278964078,0.26259104774948644,-0.004483902788987693,60.63,61.33,-0.6999999999999957,-0.7
Austria,2003,157.97,96.04,53.41,0.6079635373805153,0.33810217129834774,-0.13485271597153392,57.97,63.58,-5.609999999999999,-5.61
Austria,2004,161.85000000000002,103.67,49.349999999999994,0.6405313561940067,0.30491195551436506,0.07944606413994171,61.85,64.93,-3.0800000000000054,-3.08
Austria,2005,164.37,104.4,51.58,0.635152400073006,0.3138042221816633,0.00704157422590912,64.37,66.99,-2.6199999999999903,-2.62
Austria,2006,162.20999999999998,106.00999999999999,47.04,0.6535355403489305,0.2899944516367672,0.015421455938697148,62.21,68.55,-6.339999999999996,-6.34
Austria,2007,162.82999999999998,111.88,42.760000000000005,0.6870969723024013,0.2626051710372782,0.05537213470427327,62.83,68.85,-6.019999999999996,-6.02
Austria,2008,164.38,113.7,42.67,0.6916899866163767,0.25958145759824797,0.016267429388630683,64.38,69.24,-4.859999999999999,-4.86
Austria,2009,166.20999999999998,118.44,40.42,0.712592503459479,0.24318633054569525,0.04168865435356195,66.21,66.99,-0.7800000000000011,-0.78
Austria,2010,167.82,111.33,47.68,0.6633893457275652,0.28411393159337384,-0.0600303951367781,67.82,70.26,-2.440000000000012,-2.44
Austria,2011,162.2,106.67999999999999,46.599999999999994,0.6577065351418002,0.28729963008631315,-0.04176771759633524,62.2,70.4,-8.200000000000003,-8.2
Austria,2012,168.64999999999998,126.1,34.63,0.7477023421286689,0.20533649570115628,0.18203974503187115,68.65,71.45,-2.799999999999997,-2.8
Austria,2013,164.55,128.74,27.680000000000003,0.7823761774536615,0.16821634761470677,0.02093576526566232,64.55,71.82,-7.269999999999996,-7.27
Austria,2014,161.54999999999998,131.76,21.68,0.8155988857938719,0.13419993809965955,0.023458132670498566,61.55,70.82,-9.269999999999996,-9.27
Austria,2015,161.78,124.62,27.790000000000003,0.7703053529484485,0.17177648658672273,-0.05418943533697618,61.78,71.84,-10.060000000000002,-10.06
Austria,2016,164.87,129.83,26.759999999999998,0.7874689149026506,0.162309698550373,0.041807093564435904,64.87,72.03,-7.159999999999997,-7.16
Austria,2017,167.09,127.13,31.55,0.7608474474833922,0.18882039619366808,-0.020796426095663678,67.09,73.64,-6.549999999999997,-6.55
Austria,2018,164.67000000000002,127.46000000000001,29.869999999999997,0.7740329143134754,0.18139308920872044,0.0025957681113821796,64.67,73.62,-8.950000000000003,-8.95
Austria,2019,170.69,131.93,30.950000000000003,0.7729216708653114,0.1813228660144121,0.03506982582771068,70.69,73.82,-3.1299999999999955,-3.13
Austria,2020,169.02999999999997,135.71,25.73,0.8028752292492459,0.15222149914216415,0.02865155764420524,69.03,71.23,-2.200000000000003,-2.2
