year,total_generation,renewable_generation,fossil_generation,renewable_share,fossil_share,renewable_yoy_growth
1990,5421.900000000001,1073.81,2896.03,0.19805049890259868,0.5341356351094635,
1991,5429.07,1112.31,2842.23,0.20488039387961474,0.5235206029762004,0.035853642636965555
1992,5394.51,1125.1499999999999,2777.32,0.20857316049094354,0.5148419411586965,0.011543544515467685
1993,5430.05,1177.0300000000002,2701.91,0.216762276590455,0.49758473678879567,0.04610940763453786
1994,5456.13,1203.77,2712.78,0.22062707450152397,0.4971985638172111,0.02271819749709003
1995,5526.5,1223.67,2740.39,0.22141861937935403,0.4958635664525468,0.016531397193816133
1996,5629.24,1216.6499999999999,2782.52,0.21613041902636945,0.49429763165187485,-0.005736840814925759
1997,5673.03,1232.46,2794.81,0.2172489833475233,0.4926485493642727,0.012994698557514672
1998,5745.4800000000005,1305.6200000000001,2817.58,0.22724298056907344,0.4903994096228687,0.05936095289096599
1999,5809.2,1285.75,2893.73,0.22132995937478483,0.49812883013151554,-0.015218823241065604
2000,6371.71,1477.29,3189.38,0.23185141822210992,0.5005532266848303,0.14897141746062603
2001,6439.54,1440.6699999999998,3255.7799999999997,0.22372250191783882,0.5055920143364278,-0.024788633240595992
2002,6472.77,1357.1399999999999,3341.65,0.20966912156619189,0.5162627437712138,-0.05797996765393876
2003,6603.41,1321.22,3509.0699999999997,0.20008147305710233,0.5314027146580327,-0.026467424141945473
2004,6741.13,1457.8200000000002,3493.15,0.21625751172281207,0.5181846367003752,0.10338929171523303
2005,6894.65,1562.28,3561.22,0.22659308304264902,0.5165193302053042,0.07165493682347601
2006,6973.87,1555.78,3652.81,0.22308703775665448,0.5237852153825637,-0.004160585810482065
2007,7038.7699999999995,1567.35,3779.14,0.22267384784557528,0.5369034646678326,0.007436784121148232
2008,7084.46,1650.98,3733.88,0.23304246195193423,0.5270521677022667,0.05335757807764696
2009,6928.62,1771.5900000000001,3502.77,0.25569160958459264,0.5055508889216035,0.07305358029776254
2010,7112.09,1953.1799999999998,3566.46,0.27462813322103624,0.5014644077901151,0.10250114304099678
2011,7104.16,1865.41,3641.0299999999997,0.26257995315420823,0.5125208328641246,-0.04493697457479584
2012,7146.54,2085.11,3500.7200000000003,0.2917649659835389,0.4898482342504205,0.11777571686653343
2013,7129.2699999999995,2306.7200000000003,3267.4399999999996,0.3235562687343866,0.4583134037566258,0.10628216257175893
2014,7048.27,2377.66,3094.91,0.3373395173567414,0.43910207753108205,0.030753624193660123
2015,7086.95,2475.36,3083.73,0.34928424780759004,0.43512794643676056,0.041090820386430416
2016,7127.57,2565.2700000000004,3056.13,0.35990807526267726,0.42877586610864576,0.03632198952879584
2017,7247.719999999999,2556.2,3186.83,0.352690225339831,0.4397010370157788,-0.0035356902002520174
2018,7264.47,2750.59,3018.25,0.37863601886992443,0.4154811018560198,0.07604647523667962
2019,7239.42,2862.67,2877.76,0.3954280867804327,0.3975125079080921,0.04074762141940447
2020,7168.28,3080.76,2706.3,0.4297767386318615,0.3775382658043492,0.07618412181634637
2021,7309.51,3126.87,2754.56,0.42778106877205174,0.3768460539762583,0.014967086043703448
2022,7132.08,3138.33,2700.51,0.44003011744119525,0.37864269609987555,0.0036650068598951258
2023,6901.9400000000005,3483.15,2240.88,0.5046624572221723,0.3246739322567278,0.1098737226486699
2024,7005.05,3703.55,2100.79,0.5286971541959016,0.2998965032369505,0.06327605759154786
2025,7042.5,3737.06,2116.0699999999997,0.5306439474618388,0.30047142350017747,0.009048075495132979
